title,abstract,true_labels,predicted_labels,Replaced_Predictions,recall,precision,ndcg,semantic_similarity,num_predicted_labels
the essential ellen willis,"""out of the vinyl deeps, published in 2011, introduced a new generation to the incisive, witty, and merciless voice of ellen willis through her pioneering rock music criticism in the years that followed, willis's daring insights went beyond popular music, taking on such issues as pornography, religion, feminism, war, and drugs the essential ellen willis gathers writings that span forty years and are both deeply engaged with the times in which they were first published and yet remain fresh and relevant amid today's seemingly intractable political and cultural battles whether addressing the women's movement, sex and abortion, race and class, or war and terrorism, willis brought to each a distinctive attitude--passionate yet ironic, clear-sighted yet hopeful offering a compelling and cohesive narrative of willis's liberationist ""transcendence politics,"" the essays--among them previously unpublished and uncollected pieces--are organized by decade from the 1960s to the 2000s, with each section introduced by young writers who share willis's intellectual bravery, curiosity, and lucidity: irin carmon, spencer ackerman, cord jefferson, ann friedman, and sara marcus the essential ellen willis concludes with excerpts from willis's unfinished book about politics and the cultural unconscious, introduced by her longtime partner, stanley aronowitz an invaluable reckoning of american society since the 1960s, this volume is a testament to an iconoclastic and fiercely original voice ""-- provided by publisher",american essays,"feminist theory; journalism, literary; mass media; social movements; civil rights; gender identity; sexual minorities; african americans; racism; sexism; conservatism; liberalism; democracy; capitalism; communism; socialism; pacifism; peace movements; anti-war movement; vietnam war, 1955-1975; september 11 terrorist attacks, 2001; terrorism; global warming; environmental policy; nuclear energy; science fiction; literature publishing; authors, american; journalists; critics; intellectuals","Feminist theory,Journalism and literature,Mass media,Social movements,Civil rights,Gender identity,Sexual minorities,African Americans,Racism,Sexism,Conservatism,Liberalism,Democracy,Capitalism,Communism,Socialism,Pacifism,Peace movements,War resistance movements,Vietnam War, 1961-1975,September 11 Terrorist Attacks, 2001,Terrorism,Global warming,Environmental policy,Nuclear energy,Science fiction,Literature publishing,Authors, American,Journalists,Critics,Intellectuals",0.00,0.00,0.00,0.25,34.00
"1987 neptune plaza concert series collection, 1987","manuscript materials, sound recordings, photographs, and slides documenting performances of bluegrass music; music and dance from cape breton, nova scotia; afghan and iranian traditional music; steel band music; gospel music; and pan-andean music recorded live outdoors on neptune plaza in front of the thomas jefferson building, library of congress, at concerts from april through september 1987, sponsored by the american folklife center and the national council for the traditional arts",folk music; music; bluegrass music; bluegrass music; gospel music; folk music; folk dancing; tar (lute) music; music; music; popular music; popular music; rabab music; tabla music; steel band music; steel band music; afghans; african americans; canadians; caribbean americans,folk festivals; folklore; ethnology; music; musicians; musical instruments; photography; slide collections; audio-visual education; concerts; festival songs; blue grass music; celtic music; gypsy music; gospel music; steel bands; popular instrumental music; panpipes; bagpipe music; fiddle tunes; accordion music; zither music; guitar music; flute music; violin music; harp music; koráṅs; qraqebs; daf (,"Folk festivals,Folklore,Ethnology,Music,Musicians,Musical instruments,Photography,Slide collections,Audio-visual education,Concerts,Song festivals,Grass dance,Celtic music,Folk songs, Aymara,Gospel music,Steel bands (Music),Popular instrumental music,Panpipes,Bagpipe music,Fiddle tunes,Accordion music,Zither music,Guitar music,Flute music,Violin music,Harp music,Muslim heretics,Qanats,Soot",0.14,0.07,0.52,0.58,30.00
true or false?,"an encyclopedic compendium of facts, images, and infographics brings familiar topics to life and helps readers discover fun-filled trivia and statistics in a range of subjects, from science and history to culture and the natural world",common fallacies; curiosities and wonders,knowledge; learning and scholarship; education; information literacy; critical thinking; problem solving; reading comprehension; educational technology; internet in education; web 20; social media; blogs; online social networks; digital libraries; e-books; electronic books; computer games; video games; graphic novels; comic strips; cartoons and comics; children's literature; picture books; illustrated children's books; drawing; art appreciation; museums; museum exhibits; exhibitions; curators; librarians; library administration; school administrators,"Knowledge and learning,Learning and scholarship,Education,Information literacy,Critical thinking,Problem solving,Reading comprehension,Educational technology,Internet in education,Web 2.0,Social media,Blogs,Online social networks,Digital libraries,Electronic books,Electronic books,Video games,Video games,Graphic novels,Comic books, strips, etc,Editorial cartoons,Children's literature,Picture books,Illustrated children's books,Drawing,Art appreciation,Museums,Museum exhibits,Exhibitions,Curatorship,Librarians,Library administration,School administrators",0.00,0.00,0.00,0.23,33.00
happy vagrancy : essays from an easy chair,"""this volume includes many ruminations on nature, the nature of writing, mortality, and human folly and near folly, rendered in prose that is often poetic and deeply entwined in the author's intertextual web of influences, which vary from low brow to a very high forehead indeed"" -- provided by publisher",nature; writing; life; old age,authors; english literature; american literature; essayists; essayists; travel writers; travel writers; journalists; journalists; natural history; natural history; aging; aging; death; death; humor; humor; wit and humor; wit and humor; happiness; happiness; life change events; life change events; men; men; friendship; friendship; loneliness; loneliness; old age; old age; middle-aged persons; middle-aged persons; self-actualization (psychology); self-realization (,"Authors,English literature,American literature,Essayists,Essayists,Travel writers,Travel writers,Journalists,Journalists,Natural history,Natural history,Aging,Aging,Death,Death,Humor,Humor,Wit and humor,Wit and humor,Happiness,Happiness,Life change events,Life change events,Men,Men,Friendship,Friendship,Loneliness,Loneliness,Old age,Old age,Middle-aged persons,Middle-aged persons,Self-actualization (Psychology),Self-realization",0.25,0.05,0.27,0.50,20.00
intentional practice for museums : a guide for maximizing impact,"""intentional practice for museums: a guide for maximizing impact introduces the cycle of intentional practice--a practical approach to planning, evaluating, reflecting, and aligning your work""-- provided by publisher",museums; system theory,museum administration; museology; museum techniques; nonprofit organizations; organizational effectiveness; social responsibility of business; management; leadership; strategic planning in art museums; performance measurement; evaluation research (social action programs); change (psychology); learning organization; community development; public-private sector cooperation; arts; culture; education; libraries; archives; cultural property; historic buildings; historic sites; conservation and restoration; natural history museums; science museums; children's museums; children; youth; museums; museums; museums;,"Museum cooperation,Museum studies,Museum techniques,Nonprofit organizations,Organizational effectiveness,Social responsibility of business,Management,Leadership,Sports facilities in art,Specific performance,Evaluation research (Social action programs),Change (Psychology),Organizational learning,Community development,Public-private sector cooperation,Arts,Culture,Education,Libraries,Archives,Cultural property,Historic buildings,Historic sites,Conservation and restoration,Natural history museums,Science museums,Children's museums,Children,Youth,Museums,Museums,Museums,Change",0.50,0.03,0.25,0.43,31.00
mrm5 : museum registration methods,"rewritten, expanded and fully updated, mrm5 encompasses all that needs to be known and done when a museum accessions, measures, marks, moves, and displays or stores an object/artifact of any kind mrm5 includes expert advice from more than 60 acknowledged leaders in their disciplines new with the 5th edition are special teaching sections that challenge students and seasoned staff alike with questions about the process and procedures of accessioning and caring for objects",museum registration methods; museums,museums; museums; museology; museology; art museums; art museums; cultural property; cultural property; antiquities; antiquities; artifacts; artifacts; collecting of specimens; collecting of specimens; conservation and restoration; conservation and restoration; provenance; provenance; curators; curators; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums;,"Museums,Museums,Museum studies,Museum studies,Art museums,Art museums,Cultural property,Cultural property,Antiquities,Antiquities,Alien artifacts,Alien artifacts,Specimens,Specimens,Conservation and restoration,Conservation and restoration,Provenance,Provenance,Curatorship,Curatorship,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Change",0.50,0.09,0.43,0.54,11.00
the world's craziest records,"""describes some of the craziest, silliest, and most extraordinary records achieved by people around the world""-- provided by publisher",curiosities and wonders,record holders; sports; human body; unusual occurrences; extreme environments; adventure and adventurers; survival skills; natural history; animals; plants; food habits; eating disorders; dietetics; nutrition; health; medicine; medical care; hospitals; first aid in illness and injury; emergency management; disasters; disaster relief; rescue work; search and rescue operations; fire extinction; fires; floods; weather forecasting; meteorology; storms; lightning; thunderstorms; tornadoes; hurricanes; earthquakes; volcanoes,"Records,Sports,Human body,First sexual experiences,Extreme environments,Adventure and adventurers,Life skills,Natural history,Animals,Plants,Food habits,Eating disorders,Dietetics,Nutrition,Health,Medicine,Medical care,Hospitals,First aid in illness and injury,Emergency management,Disasters,Disaster relief,Rescue work,Search and rescue operations,Fire extinction,Fires,Floods,Weather forecasting,Meteorology,Storms,Lightning,Thunderstorms,Tornadoes,Hurricanes,Earthquakes,Volcanoes",0.00,0.00,0.00,0.18,36.00
museums in china : materialized power and objectified identities,"""from the earliest museums established by western missionaries in order to implement religious and political power, to the role they have played in the formation of the modern chinese state, the origin and development of museums in mainland china differ significantly from those in the west the occurrence of museums in mainland china in the late nineteenth century was primarily a result of internal and external conflicts, westernization and colonialism, and as such they were never established solely for enjoyment and leisure using a historical and anthropological framework, this book provides a holistic and critical review on the establishment and development of museums in mainland china from 1840 to the present day, and shows how museums in china have been used by a wide range of social, political, and state actors for a number of economic, religious, political and ideological purposes indeed, tracey l-d lu examines the key role played by museums in reinforcing social segmentation, influencing the economy, protecting cultural heritage and the construction and enhancement of ethnic identities and nationalism, and how they have throughout their history helped the powerful to govern the less powerful or the powerless more broadly, this book provides important comparative insights on museology and heritage management, and questions who the key stakeholders are, how museums reflect broader social and cultural changes, and the relationship between museum and heritage management drawing on extensive archival research and anthropological fieldwork, as well as the author's experience working as a museum curator in mainland china in the late 1980s""-- provided by publisher",museums,museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums;,"Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Change",1.00,0.50,0.63,0.58,2.00
"your pinkie is more powerful than your thumb : and 333 other surprising facts that will make you wealthier, healthier, and smarter than everyone else","focuses on the most recent discoveries in health, science, and history to present a collection of money and health-related facts",questions and answers; curiosities and wonders,"life skills; self-care, health; human behavior; success; conduct of life; happiness; psychology, applied; mental discipline; mind and body; stress management; time management; motivation (psychology); goal setting; interpersonal relations; communication; decision making; problem solving; creativity; learning strategies; memory; thinking; personal finance; economics; business enterprises; entrepreneurship; work ethic; consumer education; nutrition; dietetics; exercise; physical fitness; medicine; medical sciences; natural history; animals;","Life skills,Self-care, Health,Human behavior,Success,Conduct of life,Happiness,Psychology, Applied,Mental discipline,Mind and body,Stress management,Time management,Motivation (Psychology),Standing position,Interpersonal relations,Communication,Decision making,Problem solving,Creative thinking,Learning strategies,Memory,Thought and thinking,Finance, Personal,Economics,Business enterprises,Entrepreneurship,Work ethic,Consumer education,Nutrition,Dietetics,Exercise,Physical fitness,Medicine,Medical sciences,Natural history,Animals,Change",0.00,0.00,0.00,0.25,39.00
"knowledge and the public interest, 1575-1725","""many studies relate modern science to modern political and economic thought using one shift in order to explain the other, however, has begged the question of modernity's origins new scientific and political reasoning emerged simultaneously as controversial forms of probabilistic reasoning neither could ground the other they both rejected logical systems in favor of shifting, incomplete, and human-oriented forms of knowledge which did not meet accepted standards of speculative science this study follows their shared development by tracing one key political stratagem for linking human desires to the advancement of knowledge: the collaborative wish list highly controversial at the beginning of the seventeenth century, charismatic desiderata lists spread across europe, often deployed against traditional sciences they did not enter the academy for a century but eventually so shaped the deep structures of research that today this once controversial genre appears to be a musty and even pedantic term of art""-- provided by publisher",learning and scholarship; communication in learning and scholarship; science,intellectual property; patents; inventions; discoveries in science; discovery in technology; technological innovations; social change; history; philosophy of nature; natural law; reason; empiricism; rationalism; probability theory; politics and culture; liberalism; liberty; government information; freedom of speech; censorship; booksellers' catalogs; cataloging; bibliography; book collecting; libraries; publishing; printing industry; communication; mass media; popular culture; education; universities and colleges; academic freedom; civil rights; democracy;,"Intellectual property,Patents,Inventions,Discoveries in science,Technological complexity,Technological innovations,Social change,History,Philosophy of nature,Natural law,Reason,Empiricism,Rationalism,Probabilities,Politics and culture,Liberalism,Liberty,Government information,Freedom of speech,Censorship,Booksellers' catalogs,Cataloging,Bibliography,Book collecting,Libraries,Publishing,Printing industry,Communication,Mass media,Popular culture,Education,Universities and colleges,Academic freedom,Civil rights,Democracy,Change",0.00,0.00,0.00,0.36,36.00
