title,abstract,true_labels,predicted_labels,Replaced_Predictions,recall,precision,ndcg,semantic_similarity,num_predicted_labels
the essential ellen willis,"""out of the vinyl deeps, published in 2011, introduced a new generation to the incisive, witty, and merciless voice of ellen willis through her pioneering rock music criticism in the years that followed, willis's daring insights went beyond popular music, taking on such issues as pornography, religion, feminism, war, and drugs the essential ellen willis gathers writings that span forty years and are both deeply engaged with the times in which they were first published and yet remain fresh and relevant amid today's seemingly intractable political and cultural battles whether addressing the women's movement, sex and abortion, race and class, or war and terrorism, willis brought to each a distinctive attitude--passionate yet ironic, clear-sighted yet hopeful offering a compelling and cohesive narrative of willis's liberationist ""transcendence politics,"" the essays--among them previously unpublished and uncollected pieces--are organized by decade from the 1960s to the 2000s, with each section introduced by young writers who share willis's intellectual bravery, curiosity, and lucidity: irin carmon, spencer ackerman, cord jefferson, ann friedman, and sara marcus the essential ellen willis concludes with excerpts from willis's unfinished book about politics and the cultural unconscious, introduced by her longtime partner, stanley aronowitz an invaluable reckoning of american society since the 1960s, this volume is a testament to an iconoclastic and fiercely original voice ""-- provided by publisher",american essays,"feminist theory; social movements; journalism, musical; rock musicians; critics; journalists; authors, american; feminists; african americans; jews; gay men; lesbians; pacifists; civil rights workers; peace activists; anti-war movement; christianity and culture; christianity and literature; christianity and art; christianity and sociology; christianity and philosophy; christianity and education; christianity and anthropology; christianity and economics; christianity and history; christianity and science;","Feminist theory,Social movements,Theater critics,Rock musicians,Critics,Journalists,Authors, American,Feminists,African Americans,Jews,Gay men,Lesbians,Pacifists,Civil rights workers,Minority activists,War resistance movements,Christianity and culture,Christianity and literature,Christianity and art,Christian sociology,Christian philosophy,Christian education,Anthropology of religion,Economy of God,History and criticism, Christian,Christian Science,Change",0.00,0.00,0.00,0.23,29.00
"1987 neptune plaza concert series collection, 1987","manuscript materials, sound recordings, photographs, and slides documenting performances of bluegrass music; music and dance from cape breton, nova scotia; afghan and iranian traditional music; steel band music; gospel music; and pan-andean music recorded live outdoors on neptune plaza in front of the thomas jefferson building, library of congress, at concerts from april through september 1987, sponsored by the american folklife center and the national council for the traditional arts",folk music; music; bluegrass music; bluegrass music; gospel music; folk music; folk dancing; tar (lute) music; music; music; popular music; popular music; rabab music; tabla music; steel band music; steel band music; afghans; african americans; canadians; caribbean americans,folk festivals; folk musicians; musical festivals; world music; blues (music); country music; celtic music; fiddle tunes; bagpipe music; gypsy violins; klezmer music; string bands; blue grass music; gospel music; steel drum music; panpipes; afghani music; iranese music; festival songs; folklore; ethnology; cultural pluralism; multicultural education; ethnic groups; african americans; hispanic americans; jewish americans;,"Folk festivals,Folk musicians,Music festivals,World music,Blues (Music),Country music,Celtic music,Fiddle tunes,Bagpipe music,Violin and viola d'amore music,Klezmer music,String bands,Blues-rock music,Gospel music,Steel drum music,Panpipes,Band-i Darūntah (Afghanistan),Zärbi (Azerbaijani music),Song festivals,Folklore,Ethnology,Cultural pluralism,Multicultural education,Ethnic groups,African Americans,Hispanic Americans,Jews, American,Change",0.14,0.07,0.27,0.59,28.00
true or false?,"an encyclopedic compendium of facts, images, and infographics brings familiar topics to life and helps readers discover fun-filled trivia and statistics in a range of subjects, from science and history to culture and the natural world",common fallacies; curiosities and wonders,"knowledge, theory of; information resources management; internet searching; web sites; search engines; factoids; trivia questions and answers; reference books; questionnaires; educational tests and measurements; learning strategies; education, primary; children's literature; picture books; reading comprehension; critical thinking; problem solving; cognitive ability; intelligence quotient; gifted students; creative writing; language arts (elementary); english language; vocabulary building; word games; puzzles; riddles; brain trust game shows; television programs;","Knowledge, Theory of,Information resources management,Internet searching,Web sites,Search engines,Paronyms,Trivia,Reference books,Questionnaires,Educational tests and measurements,Learning strategies,Education, Primary,Children's literature,Picture books,Reading comprehension,Critical thinking,Problem solving,Cognitive balance,Multiple intelligences,Teachers of gifted children,Creative writing,Language arts (Elementary),English language,Vocabulary,Word games,Puzzles,Riddles,Psychic games,Television programs,Change",0.00,0.00,0.00,0.23,32.00
happy vagrancy : essays from an easy chair,"""this volume includes many ruminations on nature, the nature of writing, mortality, and human folly and near folly, rendered in prose that is often poetic and deeply entwined in the author's intertextual web of influences, which vary from low brow to a very high forehead indeed"" -- provided by publisher",nature; writing; life; old age,"authors; american literature; essayists; americans; english language; humorists, american; wit and humor, american; short stories, canadian; short stories, american; poetry, canadian; poetry, american; life change events; aging; death; friendship; love; marriage; family relationships; fathers and sons; mothers and daughters; children; women; men; sex role; gender identity; sexual orientation; homosexuality; gay men; lesbians; christianity; buddhism; hinduism","Authors,American literature,Essayists,Americans,English language,Humorists, American,American wit and humor,Short stories, Canadian,Short stories, American,Love poetry, Canadian,American poetry,Life change events,Aging,Death,Friendship,Love,Marriage,Family relationships,Fathers and sons,Mothers and daughters,Children,Women,Men,Sex role,Gender identity,Sexual orientation,Homosexuality,Gay men,Lesbians,Christianity,Buddhism,Hinduism",0.00,0.00,0.00,0.39,32.00
intentional practice for museums : a guide for maximizing impact,"""intentional practice for museums: a guide for maximizing impact introduces the cycle of intentional practice--a practical approach to planning, evaluating, reflecting, and aligning your work""-- provided by publisher",museums; system theory,nonprofit organizations; public-private sector cooperation; community organization; community development,"Nonprofit organizations,Public-private sector cooperation,Community organization,Community development",0.00,0.00,0.00,0.25,4.00
mrm5 : museum registration methods,"rewritten, expanded and fully updated, mrm5 encompasses all that needs to be known and done when a museum accessions, measures, marks, moves, and displays or stores an object/artifact of any kind mrm5 includes expert advice from more than 60 acknowledged leaders in their disciplines new with the 5th edition are special teaching sections that challenge students and seasoned staff alike with questions about the process and procedures of accessioning and caring for objects",museum registration methods; museums,museums; art museums; cultural property; antiquities; collecting of artifacts; artifact collections; museology; conservation and restoration; museum techniques; museum exhibits; museum visitors; museum education; museum curators; museum personnel; museum employees; museum management; museum administration; museum services; museum facilities; museum buildings; museum architecture; museum design; museum construction; museum equipment and supplies; museum acquisitions; museum collections; museum collection development; museum acquisition policy; museum deaccessioning; museum exhibitions; museum,"Museums,Art museums,Cultural property,Antiquities,Museum techniques,Archaeological collections,Museum studies,Conservation and restoration,Museum techniques,Museum exhibits,Museum visitors,Schools of museum studies,Museum curators,Museum curators,Volunteer workers in museums,Museum cooperation,Museum registrars,Museum attendance,Museum storage facilities,Museum buildings,Museum architecture,Museum architecture,Museum architecture,Exhibition equipment and supplies industry,Museum loans,Museum archives,Museum studies,Museum loans,Museum cooperation,Museum exhibits,Museums",0.50,0.03,0.25,0.75,31.00
the world's craziest records,"""describes some of the craziest, silliest, and most extraordinary records achieved by people around the world""-- provided by publisher",curiosities and wonders,record-breaking; sports records; human body; animals; unusual occurrences; children's questions and answers; science projects; science experiments; physics -- research; chemistry -- research; biology -- research; mathematics -- research; astronomy -- research; natural history; zoology; botany; geology; paleontology; anthropology; archaeology; psychology; sociology; medicine; health; nutrition; food habits; cooking; dietetics; agriculture; horticulture; veterinary medicine; animal behavior; ecology; conservation of,"Recording,Sports records,Human body,Animals,Humorous stories,Children's questions and answers,Science projects,Experiments,Physics,Chemical processes,Biology, Experimental,Applied mathematics,Statistical astronomy,Natural history,Zoology,Botany,Geology,Paleontology,Anthropology,Archaeology,Psychology,Sociology,Medicine,Health,Nutrition,Food habits,Cooking,Dietetics,Agriculture,Horticulture,Veterinary medicine,Animal behavior,Ecology,Conservation",0.00,0.00,0.00,0.21,34.00
museums in china : materialized power and objectified identities,"""from the earliest museums established by western missionaries in order to implement religious and political power, to the role they have played in the formation of the modern chinese state, the origin and development of museums in mainland china differ significantly from those in the west the occurrence of museums in mainland china in the late nineteenth century was primarily a result of internal and external conflicts, westernization and colonialism, and as such they were never established solely for enjoyment and leisure using a historical and anthropological framework, this book provides a holistic and critical review on the establishment and development of museums in mainland china from 1840 to the present day, and shows how museums in china have been used by a wide range of social, political, and state actors for a number of economic, religious, political and ideological purposes indeed, tracey l-d lu examines the key role played by museums in reinforcing social segmentation, influencing the economy, protecting cultural heritage and the construction and enhancement of ethnic identities and nationalism, and how they have throughout their history helped the powerful to govern the less powerful or the powerless more broadly, this book provides important comparative insights on museology and heritage management, and questions who the key stakeholders are, how museums reflect broader social and cultural changes, and the relationship between museum and heritage management drawing on extensive archival research and anthropological fieldwork, as well as the author's experience working as a museum curator in mainland china in the late 1980s""-- provided by publisher",museums,"museums; museums; ethnology; anthropology; national characteristics, chinese; identity politics; public administration; government publicity; cultural property; cultural policy; arts and society; art and society; art patronage; art patrons; collecting of antiquities; antiquarians; archaeologists; archaeology; archaeological museums; curators; curatorial practices; exhibitions; exhibition techniques; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums; museums","Museums,Museums,Ethnology,Anthropology,National characteristics, Chinese,Identity politics,Public administration,Government publicity,Cultural property,Cultural policy,Arts and society,Art and society,Art patronage,Art patrons,Antiquities,Antiquarians,Archaeologists,Archaeology,Archaeological museums and collections,Curatorship,Curatorship,Exhibitions,Exhibition techniques,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums,Museums",1.00,0.04,0.26,0.47,23.00
"your pinkie is more powerful than your thumb : and 333 other surprising facts that will make you wealthier, healthier, and smarter than everyone else","focuses on the most recent discoveries in health, science, and history to present a collection of money and health-related facts",questions and answers; curiosities and wonders,"human body; medical sciences; life skills; self-actualization (psychology); success; personal finance; nutrition; diet therapy; weight loss; mind-body relations; mental discipline; motivation (psychology); stress management; happiness; positive thinking; optimism; psychology, applied; psychological aspects of medicine; physical fitness; exercise; sports; time management; productivity; goal setting; career development; interpersonal communication; social interaction; etiquette; manners and customs; conduct of life; popular culture; mass media","Human body,Medical sciences,Life skills,Self-actualization (Psychology),Success,Finance, Personal,Nutrition,Diet therapy,Weight loss,Mind and body,Mental discipline,Motivation (Psychology),Stress management,Happiness,Self-acceptance,Optimism,Psychology, Applied,Discomfort (Psychology),Physical fitness,Exercise,Sports,Time management,Productivity,Standing position,Career development,Interpersonal communication,Social interaction,Etiquette,Manners and customs,Conduct of life,Popular culture,Mass media",0.00,0.00,0.00,0.22,33.00
"knowledge and the public interest, 1575-1725","""many studies relate modern science to modern political and economic thought using one shift in order to explain the other, however, has begged the question of modernity's origins new scientific and political reasoning emerged simultaneously as controversial forms of probabilistic reasoning neither could ground the other they both rejected logical systems in favor of shifting, incomplete, and human-oriented forms of knowledge which did not meet accepted standards of speculative science this study follows their shared development by tracing one key political stratagem for linking human desires to the advancement of knowledge: the collaborative wish list highly controversial at the beginning of the seventeenth century, charismatic desiderata lists spread across europe, often deployed against traditional sciences they did not enter the academy for a century but eventually so shaped the deep structures of research that today this once controversial genre appears to be a musty and even pedantic term of art""-- provided by publisher",learning and scholarship; communication in learning and scholarship; science,"natural history; politics and culture; philosophy, english; civilization, western; social change; intellectual property; patronage, artistic; arts and society; artists' prepared works; patrons of arts, philanthropy; scientists; intellectuals; historians; philosophers; literature, comparative; literature publishing; booksellers and bookselling; printing; book industries and trade; communication in learning and scholarship; education, higher; universities and colleges; universities and colleges; universities and colleges; universities and colleges; universities and colleges;","Natural history,Politics and culture,Philosophy, English,Civilization, Western,Social change,Intellectual property,Art patronage,Arts and society,Artists' materials,Art patrons in art,Scientists,Intellectuals,Historians,Philosophers,Comparative literature,Literature publishing,Booksellers and bookselling,Printing,Book industries and trade,Communication in learning and scholarship,Education, Higher,Universities and colleges,Universities and colleges,Universities and colleges,Universities and colleges,Universities and colleges,Change",0.33,0.03,0.24,0.40,29.00
